"Close Business Day Now","Закрити бізнес день зараз"
"Paste %1 here","Вставте %1 сюди"
"or select file on your computer","або виберіть файл на вашому комп'ютері"
"Specify this url in the certificate request email","Вкажіть цей URL в електронному листі із запитом на сертифікат"
"Invalid Mega Bank Config.", "Неприпустима конфігурація Mega Bank."
"An error occurred while creating a payment. Please try again.", "Помилка при створенні платежу. Будь ласка, спробуйте ще раз."
"The order amount has changed. Repeat the data entry for the payment.", "Сума замовлення змінилася. Повторіть введення даних для платежу."
"Invalid cron expression: %1","Неприпустиме вираз cron: %1"
"Invalid cron expression, expecting 'match/modulus': %1","Неприпустиме вираз cron, очікування 'match/modulus': %1"
"Invalid cron expression, expecting numeric modulus: %1","Неприпустиме вираз cron, очікується числовий модуль: %1"
"Invalid cron expression, expecting 'from-to' structure: %1","Неприпустиме вираз cron, очікується структура 'від-до': %1"
Sandbox,Тестове
Production,Бойове
"Sms (Single Message System)", "Sms (система єдиного повідомлення)"
"Dms (Dual Message System)", "Dms (подвійна система повідомлень)"
"Can't create api config object","Неможливо створити об'єкт конфігурації api"
"Business day has been successfully closed","Бізнес день успішно закритий"
"Unexpected error","Несподівана помилка"
"Close business day error: %1","Помилка закриття бізнес дня: %1"
"A payment error has occurred. Please repeat the data entry for the payment.", "Помилка платежу. Повторіть введення даних для платежу."
"Can not find transaction for capture.", "Не вдається знайти транзакцію для списання."
"A payment error has occurred. Error: %1. Please try again.","Помилка платежу. Помилка: %1. Будь ласка, спробуйте ще раз."
"A payment error has occurred. Operation result: %1. Api error: %2","Помилка платежу. Результат операції: %1. Помилка API: %2"
"A payment error has occurred. Operation result: %1","Помилка платежу. Результат операції: %1"
"We received your payment data","Ми отримали Ваші платіжні дані"
"Place Order", "Оформити замовлення"
"Pay Order", "Оплатити замовлення"
"Unexpected payment error. Please try pay again", "Несподівана помилка оплати. Будь ласка, спробуйте оплати"
"Mega Bank Payment", "Mega Bank Payment"
Enabled, Включено
Title, Тема
Language, Мова
"Order Description", "Опис замовлення"
"Payment Action", "Платіжне дію"
"Enable debug log", "Включити журнал налагодження"
Instructions, Інструкції
"Payment from Applicable Countries", "Платіж з відповідних країн"
"Payment from Specific Countries", "Платіж з певних країн"
"Sort Order", "Порядок сортування"
"Api Connection Settings", "Налаштування підключення API"
Environment,Оточення
"Api Url", "Api Url"
"Sandbox Api Url","Api Url для тестового оточення"
"Widget Url", "URL віджета"
Password, Пароль
"Ip Address", "IP-адреса"
Certificate,Сертифікат
Key,Ключ
"Close Business Day Settings","Налаштування закриття бізнес дня"
"Enable Cron Close","Включити закриття по крону"
"Cron Schedule","Cron Розклад"
"Approved","Схвалено"
"Approved with identification","Схвалено з ідентифікацією"
"Approved for partial amount","Схвалено для часткової суми"
"Approved for VIP","Схвалено VIP - клієнт"
"Approved, update track 3","Успішно"
"Approved, account type specified by card issuer","Підтверджено, тип рахунку визначено емітентом картки"
"Approved for partial amount, account type specified by card issuer","Схвалено на часткову суму, тип рахунку встановлюється Емітентом картки"
"Approved, update ICC","Схвалено"
"Approved","Схвалено"
"Decline","Відмова"
"Decline, expired card","Відмова: карта прострочена"
"Decline, suspected fraud","Відмова"
"Decline, card acceptor contact acquirer","Відмова: зв'яжіться з обслуговуючим банком"
"Decline, restricted card","Відмова: карта має обмеження"
"Decline, card acceptor call acquirer's security department","Відмова: викличте службу безпеки банку"
"Decline, allowable PIN tries exceeded","Відмова: перевищено число спроб введення PIN - коду"
"Decline, refer to card issuer","Відмова: зверніться до емітента картки"
"Decline, refer to card issuer's special conditions","Відмова: зверніться до емітента картки"
"Decline, invalid merchant","Відмова: невірний код терміналу"
"Decline, invalid amount","Відмова: невірна сума"
"Decline, invalid card number","Відмова: некоректний номер картки"
"Decline, PIN data required","Відхиллено, необхідні дані PIN"
"Decline, unacceptable fee","Відмова: неприпустима комісія"
"Decline, no account of type requested","Відмова: невірний номер рахунку"
"Decline, requested function not supported","Відмова: запитана операція неприпустима для Картки"
"Decline, not sufficient funds","Відмова: недостатньо коштів"
"Decline, incorrect PIN","Відмова: невірний PIN-код"
"Decline, no card record","Відмова: картка не знайдена"
"Decline, transaction not permitted to cardholder","Відмова: операція не дозволена клієнту"
"Decline, transaction not permitted to terminal","Відмова: операція, не дозволена з даного терміналу"
"Decline, exceeds withdrawal amount limit","Відмова: перевищено ліміт суми зняття"
"Decline, security violation","Відмова: з міркувань безпеки"
"Decline, exceeds withdrawal frequency limit","Відмова: перевищено число операцій"
"Decline, violation of law","Відмова: заборонено законодавством"
"Decline, card not effective","Відмова: недійсна картка"
"Decline, invalid PIN block","Відмова: невірний PIN-блок"
"Decline, PIN length error","Відмова: невірна довжина PIN-коду"
"Decline, PIN kay synch error","Відмова: помилка обробки PIN-коду"
"Decline, suspected counterfeit card","Відмова: можливо, підроблена Картка (реквізити картки введені не вірно)"
"Decline, by cardholders wish","Відмова: за бажанням власника картки"
"Decline, Card is not active","Відмова: картка не активна"
"Pick-up (general, no comments)","Вилучити картку"
"Pick-up, expired card","Вилучити картку: картка прострочена"
"Pick-up, suspected fraud","Вилучити картку: можлива шахрайська операція"
"Pick-up, card acceptor contact card acquirer","Вилучити картку: зв'яжіться з обслуговуючим банком"
"Pick-up, restricted card","Вилучити карту: карта має обмеження"
"Pick-up, card acceptor call acquirer's security department","Вилучити картку: викличте службу безпеки обслуговуючого банку"
"Pick-up, allowable PIN tries exceeded","Вилучити картку: перевищено число спроб введення PIN-коду"
"Pick-up, special conditions","Вилучити картку: спеціальні умови"
"Pick-up, lost card","Вилучити картку: картка загублена"
"Pick-up, stolen card","Вилучити картку: вкрадена картка"
"Pick-up, suspected counterfeit card","Вилучити карту: можливо, підроблена картка"
"File action successful","Файлова дія успішна"
"File action not supported by receiver","Дія файлу не підтримується одержувачем"
"Unable to locate record on file","Неможливо знайти запис в файлі"
"Duplicate record, old record replaced","Дублікат запису, старий запис замінено"
"File record field edit error","Помилка редагування поля записи файлу"
"File locked out","Файл заблокований"
"File action not successful","Дія файлу не успішна"
"File data format error","Помилка файлів даних"
"Duplicate record, new record rejected","Дублікат запису, новий запис відхиллено"
"Unknown file","Невідомий файл"
"Accepted (for reversal)","Схвалено (для скасування авторизації)"
"Approved (for reversals), no original message data","Схвалено (для скасування авторизації), оригінальна операція не знайдена"
"Status message: reconciled, in balance","Схвалено: підсумки співпали"
"Status message: reconciled, out of balance","Зверніться до чергової служби: підсумки не співпали"
"Status message: amount not reconciled, totals provided","Зверніться до чергової служби: звірка підсумків не пройшла"
"Status message: totals for reconciliation not available","Немає підсумків для звірки"
"Status message: not reconciled, totals provided","Зверніться до чергової служби: звірка підсумків не пройшла"
"Accepted","Схвалено"
"Status message: impossible to trace back original transaction","Неможливо відстежити вихідну транзакцію"
"Status message: invalid transaction reference number","Невірний номер транзакції"
"Status message: reference number/PAN incompatible","Номер транзакції/PAN несумісний"
"Status message: POS photograph is not available","POS фотографія недоступна"
"Status message: requested item supplied","Запрошений елемент надано"
"Status message: request cannot be fulfilled - required documentation is not available","Запит не може бути виконаний - необхідна документація відсутня"
"List ready","Підготовлено список"
"List not ready","Список не підготовлено"
"Accepted (for fee collection)","Прийнято (для збору плати)"
"Accepted (for network management)","Схвалено (для мережевого менеджменту)"
"Advice acknowledged, no financial liability accepted","Запит авторизований, ніяких фінансових зобов'язань не схвалено"
"Advice acknowledged, financial liability accepted","Запит авторизований, фінансові зобов'язання схвалені"
"Decline reason message: invalid transaction","Зверніться до чергової служби: невірна операція"
"Status message: re-enter transaction","Зверніться до чергової служби: повторіть операцію"
"Decline reason message: format error","Зверніться до чергової служби: помилка формату даних"
"Decline reason message: acqiurer not supported by switch","Зверніться до чергової служби: помилка зв'язку з платіжною системою"
"Decline reason message: cutover in process","Зверніться до чергової служби: помилка зв'язку з платіжною системою"
"Decline reason message: card issuer or switch inoperative","Зверніться до чергової служби: помилка зв'язку з платіжною системою"
"Decline reason message: transaction destination cannot be found for routing","Зверніться до чергової служби: помилка зв'язку з платіжною системою"
"Decline reason message: system malfunction","Зверніться до чергової служби: системна помилка"
"Decline reason message: card issuer signed off","Зверніться до чергової служби: помилка зв'язку з платіжною системою"
"Decline reason message: card issuer timed out","Зверніться до чергової служби: емітент картки недоступний"
"Decline reason message: card issuer unavailable","Зверніться до чергової служби: емітент карти недоступний"
"Decline reason message: duplicate transmission","Зверніться до чергової служби: дубльована операція"
"Decline reason message: not able to trace back to original transaction","Зверніться до чергової служби: оригінальна операція не знайдено"
"Decline reason message: reconciliation cutover or checkpoint error","Обратитесь к дежурной службе: ошибка связи с платежной системой"
"Decline reason message: MAC incorrect","Зверніться до чергової служби: помилка MAC"
"Decline reason message: MAC key sync error","Зверніться до чергової служби: помилка MAC"
"Decline reason message: no communication keys available for use","Зверніться до чергової служби: помилка PIN-PAD"
"Decline reason message: encryption key sync error","Зверніться до чергової служби: помилка шифрування"
"Decline reason message: security software/hardware error - try again","Зверніться до чергової служби: помилка шифрування"
"Decline reason message: security software/hardware error - no action","Зверніться до чергової служби: помилка шифрування"
"Decline reason message: message number out of sequence","Зверніться до чергової служби: невірний номер повідомлення"
"Status message: request in progress","Зверніться до чергової служби: запит обробляється"
"Decline reason message: violation of business arrangement","Відмова: неприпустима операція"
"Approved","Успішно"
"Tried to go Online, not succeed, Approved in Offline","Спроба в онлайн не вдалася, схвалено офлайн"
"Allowed Ip Addresses","Дозволені Ip Адреси"
"Each address should be start from new line","Кожна адреса повинна починатися з нового рядка"
